default,revolving_utilization_of_unsecured_lines,age,number_of_time30_59days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90days_late,number_real_estate_loans_or_lines,number_of_time60_89days_past_due_not_worse,number_of_dependents,probability_default,score,decision,risk_band
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1,0.012533210677079566,987,accept,Medium
0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0,0.030729016971639954,969,accept,Medium
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0,0.1323598091210997,868,reject,High
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0,0.18568569745476676,814,reject,High
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0,0.08694796076881753,913,reject,High
0,0.083418009,62,0,977.0,5400.0,6,0,1,0,0,0.008080126463958465,992,accept,Medium
0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0,0.013888489389363783,986,accept,Medium
0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0,0.2690319988484252,731,reject,High
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0,0.008924010946721758,991,accept,Medium
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1,0.3762836582715188,624,reject,High
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1,0.09292271315288453,907,reject,High
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0,0.021534096250234273,978,accept,Medium
0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0,0.02999418194701755,970,accept,Medium
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0,0.2231825732614734,777,reject,High
0,0.07289757,81,0,75.0,5400.0,7,0,0,0,0,0.008163912642001916,992,accept,Medium
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1,0.030214430751540497,970,accept,Medium
0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1,0.08346995778674285,917,reject,High
0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0,0.02948280777308919,971,accept,Medium
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2,0.00961164963162528,990,accept,Medium
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0,0.008606967365459645,991,accept,Medium
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0,0.01648206256182475,984,accept,Medium
0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2,0.09195147193722168,908,reject,High
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0,0.06010151399149495,940,reject,High
0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0,0.06733186698407455,933,reject,High
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1,0.10753076946989434,892,reject,High
0,0.9999999,62,0,0.0,5400.0,1,0,0,0,0,0.0690755478601362,931,reject,High
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0,0.009819085514571651,990,accept,Medium
0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0,0.17213379113728713,828,reject,High
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0,0.008868978173327529,991,accept,Medium
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1,0.0504535583992068,950,reject,Medium
0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0,0.016970954156630885,983,accept,Medium
0,0.541108804,43,0,2477.0,5400.0,3,0,1,0,2,0.047374314904620095,953,accept,Medium
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2,0.07299739980752185,927,reject,High
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0,0.04513478958531787,955,accept,Medium
0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0,0.007257558909817462,993,accept,Medium
0,0.101155821,72,0,1720.0,5400.0,12,0,2,0,0,0.009788804540834454,990,accept,Medium
0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2,0.01337683632027051,987,accept,Medium
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0,0.025977332078207262,974,accept,Medium
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0,0.008608384530437115,991,accept,Medium
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1,0.26957351115811723,730,reject,High
0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0,0.048129358750220896,952,accept,Medium
0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2,0.17101684309863396,829,reject,High
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3,0.012703405703373806,987,accept,Medium
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1,0.01653866059846851,983,accept,Medium
0,0.142013011,67,0,1824.0,5400.0,7,0,2,0,0,0.009308847934962308,991,accept,Medium
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0,0.33632994286393253,664,reject,High
0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1,0.016925374191307137,983,accept,Medium
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3,0.04527696710861748,955,accept,Medium
0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3,0.02383404325780393,976,accept,Medium
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0,0.014838684175519323,985,accept,Medium
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0,0.031828494487059544,968,accept,Medium
0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1,0.015468514069634494,985,accept,Medium
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2,0.031255386767611866,969,accept,Medium
0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1,0.01609592295671145,984,accept,Medium
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0,0.007869814003740346,992,accept,Medium
0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2,0.015511510020891982,984,accept,Medium
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0,0.014401629578494734,986,accept,Medium
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0,0.013031994176898948,987,accept,Medium
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1,0.010121357856124742,990,accept,Medium
0,0.360509632,58,1,3282.0,5400.0,8,0,2,0,0,0.06423113150111454,936,reject,High
0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0,0.027641684918157647,972,accept,Medium
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2,0.11443840667144083,886,reject,High
0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0,0.01231352648967551,988,accept,Medium
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0,0.014014295542701508,986,accept,Medium
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0,0.009274620522814706,991,accept,Medium
0,0.784835658,52,0,2662.0,5400.0,10,0,2,1,0,0.18246590120188133,818,reject,High
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1,0.11815953935469845,882,reject,High
0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0,0.08772625125841767,912,reject,High
0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0,0.2676771496201388,732,reject,High
0,0.542242704,48,2,10.0,5400.0,2,0,0,0,0,0.21038143843953433,790,reject,High
0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0,0.0088975221607604,991,accept,Medium
0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0,0.024219018478245313,976,accept,Medium
0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0,0.007090238731641184,993,accept,Medium
0,0.013024674,61,0,15.0,5400.0,4,0,0,0,0,0.008131394145833713,992,accept,Medium
0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0,0.012234160556077943,988,accept,Medium
0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0,0.06501455046892514,935,reject,High
0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1,0.10826608381175114,892,reject,High
0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0,0.009241310912150556,991,accept,Medium
0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3,0.012630353883064301,987,accept,Medium
0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0,0.007111287990860722,993,accept,Medium
0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1,0.07646989499816859,924,reject,High
0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0,0.051362956882516,949,reject,High
0,0.041257909,61,0,4739.0,5400.0,11,0,4,0,0,0.015668441816811093,984,accept,Medium
0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2,0.010958841615271836,989,accept,Medium
0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0,0.04616989267136937,954,accept,Medium
0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0,0.014555247199440631,985,accept,Medium
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1,0.008906818400088721,991,accept,Medium
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3,0.07311006495314155,927,reject,High
0,0.00750765,74,0,7.0,5400.0,4,0,0,0,0,0.007279506841481422,993,accept,Medium
0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0,0.009765310347778697,990,accept,Medium
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1,0.012442346375269248,988,accept,Medium
0,0.007520592,68,0,269.0,5400.0,4,0,0,0,0,0.0072748413114253705,993,accept,Medium
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0,0.007453262769833765,993,accept,Medium
0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0,0.05089891874202325,949,reject,High
0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0,0.02596455702833917,974,accept,Medium
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0,0.015768406618397908,984,accept,Medium
0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4,0.04294392141592527,957,accept,Medium
0,0.277956679,39,0,4090.0,5400.0,9,0,2,0,0,0.02229667210931381,978,accept,Medium
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0,0.010626650392158023,989,accept,Medium
0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0,0.010680357906344008,989,accept,Medium
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0,0.010113358561938436,990,accept,Medium
0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0,0.0251664692010856,975,accept,Medium
0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0,0.010519350809430523,989,accept,Medium
0,0.175727593,43,1,994.0,5400.0,4,0,1,0,0,0.05716622738533034,943,reject,High
0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0,0.007368218637596924,993,accept,Medium
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0,0.012792342430308017,987,accept,Medium
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1,0.011346039557321119,989,accept,Medium
0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0,0.010474517377226714,990,accept,Medium
0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0,0.009880098442357675,990,accept,Medium
0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2,0.015488618539225476,985,accept,Medium
0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1,0.07908243209141748,921,reject,High
0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0,0.00944159779901773,991,accept,Medium
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1,0.020773836125289363,979,accept,Medium
0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0,0.011322600008615256,989,accept,Medium
0,0.576518559,72,0,3031.0,5400.0,11,0,1,0,0,0.02405614659160136,976,accept,Medium
0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3,0.026297746273066695,974,accept,Medium
0,0.362483818,27,0,567.0,5400.0,4,0,0,0,0,0.02332614144118829,977,accept,Medium
0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0,0.015764335349032477,984,accept,Medium
0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4,0.10158119831036908,898,reject,High
0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2,0.048652367140488297,951,accept,Medium
0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0,0.04908260173692329,951,accept,Medium
0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3,0.07169999859749096,928,reject,High
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0,0.012112922959083174,988,accept,Medium
0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5,0.09962096816570644,900,reject,High
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1,0.057619965279611315,942,reject,High
0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1,0.011664953676457247,988,accept,Medium
0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0,0.01489307285887791,985,accept,Medium
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1,0.027351710152331003,973,accept,Medium
0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0,0.011758742712525153,988,accept,Medium
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4,0.016557694586735717,983,accept,Medium
0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0,0.014611732217231017,985,accept,Medium
0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3,0.014614716118749673,985,accept,Medium
0,0.0,63,0,2.0,5400.0,4,0,0,0,0,0.008332664631882756,992,accept,Medium
0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1,0.04424271441029138,956,accept,Medium
0,0.070771911,38,0,2088.0,5400.0,6,0,1,0,0,0.011347298154594329,989,accept,Medium
1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1,0.3474724972792535,653,reject,High
0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2,0.022612645521549672,977,accept,Medium
0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0,0.03834336233805062,962,accept,Medium
0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0,0.25566546185761235,744,reject,High
0,0.081379827,63,0,1268.0,5400.0,8,0,1,0,0,0.008471313318070854,992,accept,Medium
0,0.020966389,29,0,639.5,1.0,3,0,1,0,2,0.015100458045669668,985,accept,Medium
0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0,0.014755587541441555,985,accept,Medium
0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0,0.09722345261071744,903,reject,High
0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0,0.007581149233129289,992,accept,Medium
0,0.9999999,29,0,974.0,5400.0,2,0,0,0,0,0.11803288664221177,882,reject,High
0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3,0.023602640608417914,976,accept,Medium
0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0,0.009554166371162721,990,accept,Medium
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2,0.013318065347416613,987,accept,Medium
0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1,0.012765154827690826,987,accept,Medium
0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3,0.14580802176445035,854,reject,High
0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0,0.008523752659940514,991,accept,Medium
0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0,0.013020760763096592,987,accept,Medium
1,0.946963874,35,0,1593.0,5400.0,6,0,1,0,1,0.10353068891161706,896,reject,High
0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1,0.050742227932833964,949,reject,High
0,0.055549313,65,0,2177.0,5400.0,6,0,1,0,1,0.008287985479936,992,accept,Medium
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0,0.3304656644382632,670,reject,High
0,0.184986787,55,4,3144.0,5400.0,11,0,1,0,0,0.08429883050108336,916,reject,High
1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0,0.01365472596351668,986,accept,Medium
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0,0.08672310619711499,913,reject,High
1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1,0.4419275278653602,558,reject,High
0,0.0112096,86,0,13.0,5400.0,3,0,0,0,0,0.007328787445231761,993,accept,Medium
0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0,0.010714435163151641,989,accept,Medium
0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3,0.0668813522142294,933,reject,High
0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0,0.010006568235715257,990,accept,Medium
0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0,0.552740169382388,447,reject,High
0,0.0,49,0,2932.0,5400.0,11,0,1,0,0,0.012176388736258027,988,accept,Medium
0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4,0.1091331654223257,891,reject,High
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0,0.02543486614707708,975,accept,Medium
1,0.025892469,38,0,74.5,1.0,13,0,0,0,2,0.02006207546548984,980,accept,Medium
0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3,0.1399490805734043,860,reject,High
0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0,0.02050243430591658,979,accept,Medium
0,0.114869499,35,0,103.0,5400.0,6,0,0,0,0,0.013056876950619408,987,accept,Medium
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0,0.00996761099672717,990,accept,Medium
0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0,0.00759556312044789,992,accept,Medium
0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2,0.016274528775200903,984,accept,Medium
0,0.078738916,46,0,0.166215372,4800.0,6,0,1,0,4,0.010414296232183609,990,accept,Medium
0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0,0.016594214379199293,983,accept,Medium
0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0,0.008045306003347692,992,accept,Medium
0,0.021978375,40,0,0.443755624,10000.0,12,0,5,0,2,0.025263193206881893,975,accept,Medium
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0,0.02728305862774058,973,accept,Medium
0,0.007506793,60,0,1253.0,5400.0,8,0,1,0,1,0.009385014848941704,991,accept,Medium
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0,0.027583441669978573,972,accept,Medium
0,0.292365949,50,0,0.420180551,8750.0,8,0,2,0,0,0.019346946658934383,981,accept,Medium
0,0.20808276,64,0,2826.0,5400.0,14,0,2,0,0,0.013663114327623783,986,accept,Medium
0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0,0.35839967861081057,642,reject,High
0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2,0.00954144089308745,990,accept,Medium
0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0,0.06940637118554412,931,reject,High
1,0.655316473,63,0,5223.0,5400.0,19,0,2,0,0,0.044472562917705655,956,accept,Medium
0,0.9999999,50,2,1208.0,5400.0,4,0,1,0,0,0.34717606238599263,653,reject,High
0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0,0.011085396947983474,989,accept,Medium
0,0.222696207,42,0,800.0,1.0,3,0,1,0,2,0.018537945283431292,981,accept,Medium
0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0,0.029147777786764507,971,accept,Medium
0,0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0,0.02964260888220041,970,accept,Medium
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0,0.02820174695266628,972,accept,Medium
0,0.333060631,52,3,0.700153374,5215.0,15,0,2,1,0,0.3129616606666399,687,reject,High
0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2,0.009894244551752227,990,accept,Medium
0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0,0.02000231652386649,980,accept,Medium
0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0,0.06543206596589571,935,reject,High
0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0,0.011427208547612321,989,accept,Medium
1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2,0.15096300564148535,849,reject,High
0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1,0.024644206943096318,975,accept,Medium
0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2,0.015023755045446958,985,accept,Medium
0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0,0.028686518390065953,971,accept,Medium
0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0,0.007177215503892343,993,accept,Medium
0,0.196372799,43,0,0.537485582,2600.0,10,0,1,0,0,0.024885537383216465,975,accept,Medium
0,0.083945242,64,0,0.588073078,2900.0,6,0,1,0,0,0.009868268887950782,990,accept,Medium
0,0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0,0.009673473694045457,990,accept,Medium
0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1,0.0979579019224343,902,reject,High
0,0.0,66,0,3730.0,5400.0,8,0,1,0,0,0.009266467195081996,991,accept,Medium
0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0,0.011939446941113301,988,accept,Medium
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2,0.021641725612899114,978,accept,Medium
0,0.9999999,28,0,0.0,5400.0,0,0,0,0,0,0.18411844818007583,816,reject,High
0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1,0.015297950953526575,985,accept,Medium
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1,0.41422597044506754,586,reject,High
0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0,0.008382920075882785,992,accept,Medium
0,0.877564897,58,0,2825.0,5400.0,10,0,2,0,0,0.06086570048230784,939,reject,High
0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0,0.0392416615989235,961,accept,Medium
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0,0.009707634558727293,990,accept,Medium
0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0,0.18754725621806118,812,reject,High
0,0.084220458,42,0,0.458551158,6694.0,26,0,2,0,4,0.020514783120474382,979,accept,Medium
0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2,0.022360986535516256,978,accept,Medium
0,0.012151003,78,0,0.008886914,4500.0,12,0,0,0,0,0.009510326149192252,990,accept,Medium
0,0.081310737,81,0,0.165566887,3333.0,4,0,0,0,0,0.00780498134964208,992,accept,Medium
0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0,0.010957226423327176,989,accept,Medium
1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0,0.29625397178917134,704,reject,High
0,0.011883886,54,0,0.092913547,9750.0,8,0,1,0,2,0.009605735394029043,990,accept,Medium
0,0.75264947,33,1,0.058322869,7166.0,6,0,0,0,0,0.16581274667865012,834,reject,High
0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5,0.0113025099825821,989,accept,Medium
0,0.0,23,0,0.0,1725.0,1,0,0,0,0,0.015202586977611926,985,accept,Medium
0,0.634327056,49,1,0.123125125,15000.0,7,0,0,0,1,0.11198591470252967,888,reject,High
0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2,0.013658630677209883,986,accept,Medium
0,0.0,63,0,0.007988922,9387.0,9,0,0,0,0,0.008922121653598243,991,accept,Medium
0,0.090614887,42,0,86.0,5400.0,5,0,0,0,0,0.011125951178005963,989,accept,Medium
0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1,0.007743111695683921,992,accept,Medium
0,0.027446383,54,0,1612.0,5400.0,6,0,1,0,0,0.009751682385218459,990,accept,Medium
0,0.412398622,28,0,0.037259615,4991.0,5,0,0,0,0,0.025526683403187755,974,accept,Medium
0,0.024670782,78,0,392.0,5400.0,6,0,1,0,0,0.007364079672420343,993,accept,Medium
0,0.046710961,66,0,1.117952819,2500.0,12,0,1,0,0,0.012701194020304335,987,accept,Medium
0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2,0.10749426456233943,893,reject,High
0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1,0.025403452147337777,975,accept,Medium
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1,0.01868261943735157,981,accept,Medium
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0,0.010432075461197447,990,accept,Medium
0,0.010402205,68,0,0.094140517,3600.0,6,0,1,0,0,0.007771323848004429,992,accept,Medium
0,0.9999999,61,0,0.529548989,1285.0,3,0,1,0,0,0.06736349459720142,933,reject,High
0,0.029816467,68,0,0.175139978,4464.0,12,0,1,0,1,0.009736422582616946,990,accept,Medium
0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1,0.014789784479353061,985,accept,Medium
0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2,0.01102416358091085,989,accept,Medium
